Sample	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Pct_1	Pct_2	Pct_3	Pct_4	Pct_5	Pct_6	Pct_7	Pct_8	Pct_9	Pct_10
MG-Sal-WT-1F	Cst3	Ctsd	Hexb	C1qb	Malat1	Tmsb4x	Ctss	C1qc	P2ry12	Selplg	6.4	2.3	1.8	1.4	1.2	1.1	1	1	0.8	0.7
MG-Sal-WT-2F	Cst3	Ctsd	Hexb	Tmsb4x	C1qb	Ctss	P2ry12	Malat1	C1qc	Itm2b	6.3	1.9	1.9	1.2	1.2	1	1	0.9	0.9	0.7
MG-Sal-WT-3M	Cst3	Ctsd	Hexb	C1qb	P2ry12	Ctss	C1qc	Tmsb4x	Csf1r	Itm2b	6.2	2.2	2	1.2	1.1	1	0.9	0.8	0.8	0.7
MG-Sal-WT-4M	Cst3	Ctsd	Hexb	C1qb	P2ry12	Ctss	C1qc	Tmsb4x	Selplg	Csf1r	6.3	2.2	2	1.2	1.2	1	1	0.8	0.8	0.8
MG-Sal-KO-1F	Cst3	Ctsd	Hexb	Tmsb4x	Malat1	C1qb	Ctss	P2ry12	C1qc	Tyrobp	5.8	1.8	1.8	1.5	1.2	1.2	1.1	1	0.9	0.7
MG-Sal-KO-2F	Cst3	Ctsd	Hexb	C1qb	Tmsb4x	P2ry12	Ctss	Malat1	C1qc	Itm2b	5.9	2.2	1.9	1.3	1.2	1.1	1.1	1.1	0.9	0.7
MG-Sal-KO-3F	Cst3	Ctsd	Hexb	C1qb	Ctss	P2ry12	Malat1	Tmsb4x	C1qc	Csf1r	5.4	2	1.8	1.1	1.1	1.1	1	1	0.9	0.7
MG-LPS-WT-10F	Cst3	C1qb	Tmsb4x	Ccl12	Hexb	Ctss	C1qa	C1qc	Tyrobp	mt-Tq	3.8	1.8	1.5	1.5	1.2	1.2	0.9	0.9	0.8	0.8
MG-LPS-WT-11F	Cst3	C1qb	Hexb	Tmsb4x	Ctss	Ccl12	Ctsd	C1qc	C1qa	B2m	3.7	1.6	1.5	1.3	1.3	1	1	1	0.8	0.7
MG-LPS-WT-12F	Cst3	C1qb	Hexb	Ctss	Tmsb4x	Ctsd	C1qc	C1qa	Ccl12	B2m	3.4	1.7	1.4	1.2	1.1	1	1	0.9	0.9	0.6
MG-LPS-WT-5F	Cst3	Hexb	C1qb	Tmsb4x	Ctss	Ctsd	C1qc	C1qa	Ccl12	Malat1	3.7	1.6	1.5	1.3	1.2	1.1	1	0.8	0.7	0.6
