Sample	Subject_ID	Cell_Type	Genotype	Age	Sex	Treatment	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate	Avg_Corr	Corr_diff	MADScore	isOutlier	Pct_MT	Pct_Top1	Pct_Top10
2mo-WT-10F	subject10	Microglia	WT	2m	F	None	18904359	86.61	4.36	9.03	16372249	81.15	4.11	14.74	0.86	0	-0.36	N	0	5.7	16
2mo-WT-11F	subject11	Microglia	WT	2m	F	None	17493577	87.71	4.2	8.09	15343279	81.36	4.04	14.6	0.86	0	-0.63	N	0	5.6	16
2mo-WT-6F	subject6	Microglia	WT	2m	F	None	19200414	86.53	4.56	8.91	16615030	83.59	4.19	12.21	0.86	-0.01	-1.3	N	0	6.1	16.3
2mo-WT-7F	subject7	Microglia	WT	2m	F	None	19854165	84.06	4.65	11.29	16688759	76.05	3.87	20.09	0.85	-0.01	-2.38	N	0	5.8	16
2mo-WT-8F	subject8	Microglia	WT	2m	F	None	16939381	85.06	4.2	10.74	14409067	77.23	3.88	18.89	0.85	-0.01	-2.73	N	0	5.5	15.8
2mo-WT-9F	subject9	Microglia	WT	2m	F	None	18299805	86.42	4.62	8.96	15815434	74.09	3.85	22.06	0.86	-0.01	-1.51	N	0	5.4	16
2mo-WT-1M	subject1	Microglia	WT	2m	M	None	18946075	87.09	4.34	8.57	16501047	81.14	4	14.87	0.86	-0.01	-1.56	N	0	5.6	15.6
2mo-WT-2M	subject2	Microglia	WT	2m	M	None	20410378	87.58	4.3	8.12	17875410	81.09	3.88	15.03	0.86	0	-1.21	N	0	5.6	15.5
2mo-WT-3M	subject3	Microglia	WT	2m	M	None	19467088	86.91	4.32	8.77	16919219	79.05	3.9	17.05	0.86	0	-1.12	N	0	5.5	15.6
2mo-WT-4M	subject4	Microglia	WT	2m	M	None	20159788	85.92	4.47	9.61	17321568	77.6	3.88	18.52	0.85	-0.01	-1.98	N	0	5.6	15.6
2mo-WT-5M	subject5	Microglia	WT	2m	M	None	19610035	85.04	4.67	10.29	16675780	75.17	3.83	20.99	0.85	-0.02	-3.19	N	0	5.3	15.7
2mo-Het-3F	subject14	Microglia	Het	2m	F	None	19497928	87.88	4.16	7.96	17134687	80.78	4	15.21	0.87	0.01	0.56	N	0	5.2	15.3
2mo-Het-4F	subject15	Microglia	Het	2m	F	None	19409670	87.86	4.21	7.93	17053063	81.59	4.02	14.39	0.87	0.01	0.8	N	0	5.3	15.4
2mo-Het-5F	subject16	Microglia	Het	2m	F	None	16006610	85.59	4.59	9.82	13700572	76.9	3.92	19.19	0.86	-0.01	-1.71	N	0	5.5	15.8
2mo-Het-6F	subject17	Microglia	Het	2m	F	None	19763628	81.17	4.29	14.54	16042900	73.12	3.67	23.22	0.84	-0.02	-4.36	N	0	5.1	15.4
2mo-Het-10M	subject20	Microglia	Het	2m	M	None	20411729	85.03	4.62	10.35	17355249	72.3	3.65	24.05	0.85	-0.01	-2.81	N	0	5.4	15.5
2mo-Het-1M	subject12	Microglia	Het	2m	M	None	17535354	87.77	4.18	8.05	15390432	82.08	3.96	13.96	0.87	0	0.4	N	0	5.7	16
2mo-Het-2M	subject13	Microglia	Het	2m	M	None	21188747	87.98	4.2	7.82	18642144	81.19	3.9	14.9	0.87	0.01	0.79	N	0	5.6	15.7
2mo-Het-7M	subject18	Microglia	Het	2m	M	None	20134597	87.17	4.25	8.58	17551946	78.84	3.96	17.2	0.86	0	-0.41	N	0	5.3	15.8
2mo-Het-9M	subject19	Microglia	Het	2m	M	None	20124468	85.83	4.41	9.76	17272934	72.85	3.66	23.49	0.85	-0.01	-1.74	N	0	4.7	14.9
2mo-KO-4F	subject22	Microglia	KO	2m	F	None	18814759	87.07	4.37	8.56	16382307	80.64	4.03	15.34	0.87	0	0.28	N	0	5.6	16.4
2mo-KO-5F	subject23	Microglia	KO	2m	F	None	20077421	87.29	4.33	8.38	17526561	79.88	4.03	16.09	0.87	0.01	0.55	N	0	5.6	16.5
2mo-KO-6F	subject24	Microglia	KO	2m	F	None	16767338	87.55	4.28	8.17	14680314	80.76	3.93	15.31	0.87	0	0.38	N	0	5.3	15.8
2mo-KO-7F	subject25	Microglia	KO	2m	F	None	20683636	81.84	5.01	13.15	16926596	70.16	4.05	25.79	0.84	-0.03	-4.81	N	0	8.3	22.3
2mo-KO-8F	subject26	Microglia	KO	2m	F	None	19724601	82	4.93	13.07	16173400	72.25	4.04	23.71	0.84	-0.02	-4.1	N	0	7.8	21.4
2mo-KO-10M	subject28	Microglia	KO	2m	M	None	18391624	87.47	4.24	8.29	16087876	78.82	3.9	17.29	0.87	0	0.26	N	0	5.3	15.7
2mo-KO-11M	subject29	Microglia	KO	2m	M	None	16936299	87.28	4.35	8.37	14782758	79.75	4.01	16.24	0.86	0	-0.47	N	0	5.1	15.7
2mo-KO-12M	subject30	Microglia	KO	2m	M	None	18454148	87.78	4.22	8	16199371	81.99	4.05	13.96	0.86	0	-0.08	N	0	5	15.5
2mo-KO-13M	subject31	Microglia	KO	2m	M	None	17300935	85.69	4.55	9.76	14824552	75	3.84	21.16	0.86	0	-0.74	N	0	4.8	15.5
2mo-KO-2M	subject21	Microglia	KO	2m	M	None	21436635	81.99	4.62	13.39	17576281	79.45	3.9	16.66	0.85	-0.02	-3.11	N	0	7.2	18.3
2mo-KO-9M	subject27	Microglia	KO	2m	M	None	21016096	87.29	4.31	8.4	18343959	82.5	4.05	13.45	0.87	0.01	0.54	N	0	5.3	15.7
1yr-WT-2F	subject32	Microglia	WT	1y	F	None	19808357	87.33	4.02	8.65	17298416	77.95	3.75	18.3	0.86	0	-0.04	N	0	5.1	15.2
1yr-WT-3F	subject33	Microglia	WT	1y	F	None	17032558	86.06	4.18	9.76	14658644	76.65	4.02	19.33	0.86	0	-0.78	N	0	6.1	17.2
1yr-WT-4F	subject34	Microglia	WT	1y	F	None	18902841	85.89	4.24	9.87	16236112	79.16	4.02	16.82	0.86	0	0	N	0	5.6	16.3
1yr-WT-5F	subject35	Microglia	WT	1y	F	None	18201876	84.97	4.29	10.74	15466401	77.39	4.06	18.56	0.86	0	-0.98	N	0	5.9	17
1yr-WT-6F	subject36	Microglia	WT	1y	F	None	19423623	87.76	4.14	8.1	17046198	80.16	3.91	15.93	0.87	0.01	0.84	N	0	5.2	15.4
1yr-WT-7F	subject37	Microglia	WT	1y	F	None	16657329	85.53	4.31	10.16	14247664	82.17	3.99	13.84	0.86	0	-0.3	N	0	5.5	15.6
1yr-WT-8F	subject38	Microglia	WT	1y	F	None	17939667	86.5	4.18	9.32	15518410	81.41	3.92	14.67	0.87	0	0.12	N	0	5.3	15.4
1yr-WT-10M	subject40	Microglia	WT	1y	M	None	16949235	81.65	4.35	14	13839846	85.24	4.19	10.56	0.85	-0.01	-2.16	N	0	4.9	15.6
1yr-WT-11M	subject41	Microglia	WT	1y	M	None	16712616	81.85	4.63	13.52	13679842	83.56	4.28	12.17	0.86	-0.01	-1.33	N	0	6.5	17.2
